Date,Symbol,Company Name,Type,Split Ratio,Split Number,Industry,Day of Split,Price on day of Split,Price Prior to Split,Date4Q,Volume4Q,Price4Q,Date3Q,Volume3Q,Price3Q,Date2Q,Volume2Q,Price2Q,Date1Q,Volume1Q,Price1Q
2/2/2022,SGH,Smart Global Holdings Inc,Forward,2 for 1,2,Technology,2/2/2022,$27.85 ,$55.70 ,2/2/2021,"278,754",$19.92 ,5/5/2021,"271,446",$23.66 ,8/6/2021,"334,188",$25.05 ,11/4/2021,"354,599",$28.21 
2/15/2022,FRGT,Freight Technologies Inc,Reverse,1 for 2,2,Technology,2/15/2022,$34.20 ,$17.10 ,2/15/2021,"268,207",$106.48 ,5/18/2021,"120,025",$57.64 ,8/19/2021,"187,307",$51.26 ,11/17/2021,"27,146",$51.70 
3/21/2022,PEGY,Pineapple Energy Inc,Reverse,1 for 4,4,Technology,3/21/2022,$8.14 ,$2.04 ,3/21/2021,"91,766",$25.40 ,6/21/2021,"15,117",$27.32 ,9/22/2021,"785,307",$38.96 ,12/21/2021,"75,978",$9.28 
3/24/2022,ACMR,Acm Research Inc,Forward,3 for 1,3,Technology,3/24/2022,$21.81 ,$65.43 ,3/24/2021,"325,509",$27.90 ,6/24/2021,"179,737",$34.06 ,9/27/2021,"351,831",$36.22 ,12/27/2021,"144,752",$26.43 
5/28/2021,NXPL,Nextplat Corp,Reverse,1 for 5,5,Technology,5/28/2021,$4.20 ,$0.84 ,5/28/2021,,$0.00 ,8/26/2021,"167,432",$5.92 ,11/27/2021,"1,291",$12.00 ,2/25/2022,"13,326",$3.01 
6/15/2022,SBIG,Springbig Holdings Inc,Forward,2 for 1,2,Technology,6/15/2022,$4.50 ,$9.00 ,6/15/2021,"8,145",$4.85 ,9/15/2021,934,$4.85 ,12/17/2021,"16,316",$4.93 ,3/17/2022,"27,561",$9.93 
6/23/2022,WKEY,Wisekey International Holding SA,Reverse,1 for 2,2,Technology,6/23/2022,$2.51 ,$1.26 ,6/23/2021,"347,276",$15.18 ,9/23/2021,"816,039",$14.60 ,12/27/2021,"184,465",$8.22 ,3/25/2022,"240,455",$5.56 
6/23/2022,FTNT,Fortinet Inc,Forward,5 for 1,5,Technology,6/23/2022,$56.80 ,$284.00 ,6/23/2021,"781,067",$48.01 ,9/23/2021,"977,481",$62.11 ,12/27/2021,"1,019,028",$73.53 ,3/25/2022,"858,572",$66.55 
6/27/2022,BRQS,Borqs Technologies Inc,Reverse,1 for 16,16,Technology,6/27/2022,$2.15 ,$0.13 ,6/27/2021,"1,292,660",$14.32 ,9/27/2021,"1,757,588",$10.63 ,12/29/2021,"7,690,500",$6.80 ,3/29/2022,"13,963,528",$3.46 
6/29/2022,UTSI,Utstarcom Holdings Corp,Reverse,1 for 4,4,Technology,6/29/2022,$3.61 ,$0.90 ,6/29/2021,"2,083,643",$6.12 ,9/29/2021,"64,370",$4.61 ,12/31/2021,"104,852",$3.48 ,3/31/2022,"22,230",$2.88 
6/29/2022,SHOP,Shopify Inc,Forward,10 for 1,10,Technology,6/29/2022,$33.05 ,$330.50 ,6/29/2021,"1,058,087",$148.30 ,9/29/2021,"1,005,928",$134.66 ,12/31/2021,"471,261",$137.74 ,3/31/2022,"2,222,722",$67.60 
7/6/2022,SOS,Sos Ltd.,Reverse,1 for 50,50,Technology,7/6/2022,$8.31 ,$0.17 ,7/6/2021,"6,707,659",$154.00 ,10/6/2021,"7,967,561",$107.50 ,1/7/2022,"3,777,978",$39.78 ,4/7/2022,"5,950,739",$0.48 
7/13/2022,MTC,Mmtec Inc,Reverse,1 for 10,10,Technology,7/13/2022,$1.83 ,$0.18 ,7/13/2021,"510,515",$17.70 ,10/13/2021,"225,402",$13.30 ,1/14/2022,"404,454",$6.72 ,4/14/2022,"201,677",$5.80 
7/26/2022,XELA,Exela Technologies Inc,Reverse,1 for 20,20,Technology,7/26/2022,$1.85 ,$0.09 ,7/26/2021,"25,108,341",$49.20 ,10/26/2021,"71,802,874",$38.40 ,1/27/2022,"64,001,078",$10.89 ,4/27/2022,"13,744,375",$6.43 
8/12/2022,QH,Quhuo Ltd.,Reverse,1 for 10,10,Technology,8/12/2022,$4.80 ,$0.48 ,8/12/2021,"66,251",$29.50 ,11/12/2021,"58,218",$18.30 ,2/14/2022,"27,529",$7.97 ,5/16/2022,"4,136",$4.00 
8/17/2022,EMBK,Embark Technology Inc,Reverse,1 for 20,20,Technology,8/17/2022,$13.19 ,$0.66 ,8/17/2021,"188,740",$197.80 ,11/17/2021,"308,274",$157.80 ,2/18/2022,"494,399",$89.20 ,5/19/2022,"2,722,547",$33.20 
9/14/2022,PANW,Palo Alto Networks Inc,Forward,3 for 1,3,Technology,9/14/2022,$182.06 ,$546.18 ,9/14/2021,"2,464,777",$161.61 ,12/15/2021,"1,569,519",$180.10 ,3/18/2022,"2,167,555",$192.34 ,6/16/2022,"1,367,100",$155.44 
10/13/2022,CTM,Castellum Inc,Reverse,1 for 20,20,Technology,10/13/2022,$1.20 ,$0.06 ,10/13/2021,"18,478",$4.34 ,1/13/2022,"9,751",$3.20 ,4/18/2022,"25,763",$3.97 ,7/15/2022,"28,798",$0.24 
11/8/2022,ALAR,Alarum Technologies Ltd.,Reverse,1 for 10,10,Technology,11/8/2022,$3.20 ,$0.32 ,11/8/2021,"245,577",$11.70 ,2/8/2022,"112,573",$7.14 ,5/12/2022,"115,677",$5.35 ,8/10/2022,"206,357",$5.50 
11/9/2022,VS,Versus Systems Inc,Reverse,1 for 15,15,Technology,11/9/2022,$2.13 ,$0.14 ,11/9/2021,"23,117",$55.20 ,2/9/2022,"18,941",$33.00 ,5/13/2022,"25,972",$8.70 ,8/11/2022,"395,067",$5.97 
11/22/2022,EBON,Ebang International Holdings Inc,Reverse,1 for 30,30,Technology,11/22/2022,$6.04 ,$0.20 ,11/22/2021,"3,748,731",$48.60 ,2/22/2022,"1,542,038",$37.80 ,5/26/2022,"796,624",$22.80 ,8/24/2022,"460,702",$14.40 
12/12/2022,OCFT,Oneconnect Financial Technology Co Ltd.,Reverse,1 for 10,10,Technology,12/12/2022,$7.55 ,$0.76 ,12/12/2021,"2,371,064",$25.90 ,3/14/2022,"5,510,132",$11.50 ,6/15/2022,"1,696,709",$13.50 ,9/13/2022,"474,822",$10.30 
12/13/2022,PSFE,Paysafe Ltd.,Reverse,1 for 12,12,Technology,12/13/2022,$13.51 ,$1.13 ,12/13/2021,"10,482,278",$45.24 ,3/15/2022,"8,132,336",$35.64 ,6/16/2022,"5,540,467",$26.76 ,9/14/2022,"2,244,125",$21.12 
12/22/2022,MARK,Remark Holdings Inc,Reverse,1 for 10,10,Technology,12/22/2022,$1.21 ,$0.12 ,12/22/2021,"5,201,357",$10.30 ,3/24/2022,"712,396",$8.03 ,6/27/2022,"2,890,637",$4.50 ,9/23/2022,"990,599",$3.01 
12/23/2022,BTCM,Bit Mining Ltd.,Reverse,1 for 10,10,Technology,12/23/2022,$1.53 ,$0.15 ,12/23/2021,"554,571",$70.50 ,3/25/2022,"246,159",$29.10 ,6/27/2022,"1,341,912",$6.80 ,9/26/2022,"571,165",$2.60 
1/4/2023,OBLG,Oblong Inc,Reverse,1 for 15,15,Technology,1/4/2023,$2.21 ,$0.15 ,1/4/2022,"93,323",$15.00 ,4/6/2022,"36,346",$9.51 ,7/8/2022,"73,985",$4.40 ,10/6/2022,"527,170",$3.03 
1/6/2023,DAVE,Dave Inc,Reverse,1 for 32,32,Technology,1/6/2023,$8.16 ,$0.26 ,1/6/2022,"358,205",$272.96 ,4/8/2022,"680,036",$181.92 ,7/11/2022,"1,437,492",$19.40 ,10/10/2022,"2,010,481",$12.05 
1/18/2023,JFU,9f Inc,Reverse,1 for 20,20,Technology,1/18/2023,$4.13 ,$0.21 ,1/18/2022,"52,627",$22.00 ,4/20/2022,"37,157",$17.60 ,7/22/2022,"80,399",$16.40 ,10/20/2022,"169,759",$4.21 
1/25/2023,CETX,Cemtrex Inc,Reverse,1 for 35,35,Technology,1/25/2023,$5.35 ,$0.15 ,1/25/2022,"162,400",$23.66 ,4/27/2022,"105,943",$13.98 ,7/29/2022,"197,502",$10.15 ,10/27/2022,"76,303",$6.65 
1/26/2023,SWVL,Swvl Holdings Corp,Reverse,1 for 25,25,Technology,1/26/2023,$3.65 ,$0.15 ,1/26/2022,"13,912",$245.58 ,4/28/2022,"28,038,897",$252.25 ,8/1/2022,"354,814",$41.00 ,10/28/2022,"241,262",$14.00 
1/27/2023,WISA,Wisa Technologies Inc,Reverse,1 for 100,100,Technology,1/27/2023,$9.20 ,$0.09 ,1/27/2022,"22,912",$112.00 ,4/29/2022,"79,011",$113.00 ,8/1/2022,"52,408",$64.33 ,10/31/2022,"153,197",$55.00 
2/22/2023,AMST,Amesite Inc,Reverse,1 for 12,12,Technology,2/22/2023,$2.62 ,$0.22 ,2/22/2022,"165,568",$8.34 ,5/25/2022,"104,452",$6.66 ,8/26/2022,"796,133",$9.12 ,11/25/2022,"18,235",$2.76 
3/9/2023,KLR,Kaleyra Inc,Reverse,1 for 4,4,Technology,3/9/2023,$2.28 ,$0.57 ,3/9/2022,"271,990",$23.77 ,6/9/2022,"519,391",$10.19 ,9/12/2022,"273,719",$5.36 ,12/9/2022,"90,761",$3.82 
3/22/2023,LKCO,Luokung Technology Corp,Reverse,1 for 30,30,Technology,3/22/2023,$2.01 ,$0.07 ,3/22/2022,"1,258,226",$17.70 ,6/22/2022,"1,092,563",$13.80 ,9/23/2022,"1,661,201",$5.40 ,12/22/2022,"1,018,309",$5.18 
3/23/2023,IDAI,T Stamp Inc,Reverse,1 for 5,5,Technology,3/23/2023,$2.60 ,$0.52 ,3/23/2022,"5,551",$11.33 ,6/23/2022,"14,748",$6.70 ,9/26/2022,"16,984",$4.15 ,12/23/2022,"24,147",$2.00 
3/24/2023,FRGT,Freight Technologies Inc,Reverse,1 for 10,10,Technology,3/24/2023,$1.69 ,$0.17 ,3/24/2022,"304,001",$26.70 ,6/24/2022,"23,914",$14.10 ,9/26/2022,"81,643",$5.50 ,12/27/2022,"190,576",$2.10 
3/24/2023,CUEN,Cuentas Inc,Reverse,1 for 13,13,Technology,3/24/2023,$5.00 ,$0.38 ,3/24/2022,"228,028",$20.15 ,6/24/2022,"78,315",$8.82 ,9/26/2022,"52,355",$6.27 ,12/27/2022,"346,418",$2.34 
3/24/2023,FCUV,Focus Universal Inc,Forward,2 for 1,2,Technology,3/24/2023,$2.93 ,$5.86 ,3/24/2022,"69,789",$9.30 ,6/24/2022,"2,326,910",$9.01 ,9/26/2022,"25,712",$6.29 ,12/27/2022,"23,696",$4.07 
3/27/2023,CREX,Creative Realities Inc,Reverse,1 for 3,3,Technology,3/27/2023,$2.01 ,$0.67 ,3/27/2022,"1,348,249",$2.51 ,6/27/2022,"94,141",$2.00 ,9/28/2022,"21,197",$1.74 ,12/27/2022,"22,503",$1.75 
3/29/2023,NOGN,Nogin Inc,Reverse,1 for 20,20,Technology,3/29/2023,$3.73 ,$0.19 ,3/29/2022,"44,821",$199.80 ,6/28/2022,3,$200.00 ,9/30/2022,"259,199",$27.00 ,12/29/2022,"8,368",$15.20 
4/11/2023,BLBX,Blackboxstocks Inc,Reverse,1 for 4,4,Technology,4/11/2023,$2.43 ,$0.61 ,4/11/2022,"429,943",$12.52 ,7/12/2022,"16,437",$5.52 ,10/13/2022,"23,863",$2.63 ,1/11/2023,"63,366",$1.80 
4/18/2023,INTC,Intel Corporation,None,,,Technology,,$31.83 ,,4/22/2022,"28,219,860",$46.54 ,7/21/2022,"29,661,198",$40.61 ,10/19/2022,"33,882,274",$26.00 ,1/18/2023,"44,199,580",$28.81 
4/18/2023,MXL,MaxLinear Inc.,None,,,Technology,,$31.59 ,,4/22/2022,"494,735",$44.14 ,7/21/2022,"693,403",$40.41 ,10/19/2022,"807,336",$30.45 ,1/18/2023,"489,581",$36.77 
4/18/2023,MRVL,Marvell Technology Group Ltd.,None,,,Technology,,$42.24 ,,4/22/2022,"8,638,103",$58.44 ,7/21/2022,"7,900,197",$54.57 ,10/19/2022,"8,271,283",$38.10 ,1/18/2023,"7,445,092",$40.49 
4/18/2023,STM,STMicroelectronics NV,None,,,Technology,,$50.59 ,,4/22/2022,"3,460,450",$37.47 ,7/21/2022,"3,288,557",$35.22 ,10/19/2022,"3,486,155",$31.82 ,1/18/2023,"4,139,197",$42.29 
4/18/2023,MU,Micron Technology Inc.,None,,,Technology,,$61.93 ,,4/22/2022,"18,682,432",$69.41 ,7/21/2022,"12,924,682",$63.64 ,10/19/2022,"14,786,102",$53.03 ,1/18/2023,"10,035,267",$56.51 
4/18/2023,ON,ON Semiconductor Corporation,None,,,Technology,,$79.21 ,,4/22/2022,"5,455,834",$51.78 ,7/21/2022,"4,519,362",$61.17 ,10/19/2022,"4,201,224",$60.77 ,1/18/2023,"5,834,299",$66.33 
4/18/2023,AMD,Advanced Micro Devices Inc.,None,,,Technology,,$89.78 ,,4/22/2022,"75,017,652",$88.14 ,7/21/2022,"90,449,338",$91.09 ,10/19/2022,"75,704,837",$57.23 ,1/18/2023,"39,538,725",$70.53 
4/18/2023,TSM,Taiwan Semiconductor Manufacturing Co. Ltd.,None,,,Technology,,$88.14 ,,4/22/2022,"11,650,097",$95.68 ,7/21/2022,"7,134,954",$87.79 ,10/19/2022,"12,385,218",$63.66 ,1/18/2023,"19,209,828",$89.47 
4/18/2023,QRVO,Qorvo Inc,None,,,Technology,,$93.53 ,,4/22/2022,"1,018,940",$111.69 ,7/21/2022,"1,002,816",$107.01 ,10/19/2022,"856,610",$81.78 ,1/18/2023,"1,208,586",$100.97 
4/18/2023,AMAT,Applied Materials Inc.,None,,,Technology,,$111.27 ,,4/22/2022,"8,489,399",$112.80 ,7/21/2022,"5,463,760",$103.84 ,10/19/2022,"10,579,176",$77.26 ,1/18/2023,"5,374,108",$109.70 
4/18/2023,QCOM,Qualcomm Inc.,None,,,Technology,,$118.36 ,,4/22/2022,"8,315,141",$132.81 ,7/21/2022,"8,060,419",$155.86 ,10/19/2022,"5,620,199",$112.85 ,1/18/2023,"10,960,424",$122.04 
4/18/2023,ADI,Analog Devices Inc.,None,,,Technology,,$189.58 ,,4/22/2022,"2,640,542",$155.25 ,7/21/2022,"2,990,799",$165.19 ,10/19/2022,"2,465,411",$141.33 ,1/18/2023,"2,627,740",$166.00 
4/18/2023,NXPI,NXP Semiconductors NV,None,,,Technology,,$175.78 ,,4/22/2022,"2,165,393",$170.75 ,7/21/2022,"2,215,814",$179.95 ,10/19/2022,"2,160,432",$141.32 ,1/18/2023,"1,565,766",$170.68 
4/18/2023,TXN,Texas Instruments Inc.,None,,,Technology,,$180.32 ,,4/22/2022,"6,355,869",$173.31 ,7/21/2022,"5,466,760",$166.54 ,10/19/2022,"5,060,124",$152.65 ,1/18/2023,"5,874,261",$173.76 
4/18/2023,NVDA,NVIDIA Corporation,None,,,Technology,,$276.67 ,,4/22/2022,"62,471,343",$195.15 ,7/21/2022,"55,704,928",$180.50 ,10/19/2022,"52,313,061",$120.51 ,1/18/2023,"43,962,355",$173.77 
4/18/2023,KLAC,KLA Corporation,None,,,Technology,,$371.21 ,,4/22/2022,"1,420,240",$324.28 ,7/21/2022,"1,243,992",$360.54 ,10/19/2022,"1,991,228",$271.96 ,1/18/2023,"1,184,050",$415.06 
4/18/2023,LRCX,Lam Research Corporation,None,,,Technology,,$495.37 ,,4/22/2022,"2,028,217",$463.13 ,7/21/2022,"1,381,153",$476.13 ,10/19/2022,"2,691,508",$330.08 ,1/18/2023,"1,193,912",$466.89 
4/18/2023,AVGO,Broadcom Inc.,None,,,Technology,,$632.32 ,,4/22/2022,"2,106,519",$586.95 ,7/21/2022,"1,391,150",$517.68 ,10/19/2022,"1,270,235",$435.30 ,1/18/2023,"1,570,366",$574.29 
4/18/2023,ASML,ASML Holding NV,None,,,Technology,,$643.33 ,,4/22/2022,"1,093,400",$607.61 ,7/21/2022,"2,281,878",$542.27 ,10/19/2022,"2,435,199",$424.02 ,1/18/2023,"1,152,730",$652.29 
